time,"I(IDC|XIN)","P(B6|XIN)","I(ROUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,2.000000e-08,2.161112e-04,6.667826e-10
2.000000e-13,4.000000e-08,8.253142e-04,2.490833e-09
3.000000e-13,6.000000e-08,1.904409e-03,5.608037e-09
4.000000e-13,8.000000e-08,3.461325e-03,9.925522e-09
5.000000e-13,1.000000e-07,5.474180e-03,1.526357e-08
6.000000e-13,1.200000e-07,7.913810e-03,2.143476e-08
7.000000e-13,1.400000e-07,1.075258e-02,2.827319e-08
8.000000e-13,1.600000e-07,1.396648e-02,3.563964e-08
9.000000e-13,1.800000e-07,1.753493e-02,4.341879e-08
1.000000e-12,2.000000e-07,2.144011e-02,5.151505e-08
1.100000e-12,2.200000e-07,2.566647e-02,5.984899e-08
1.200000e-12,2.400000e-07,3.020022e-02,6.835445e-08
1.300000e-12,2.600000e-07,3.502909e-02,7.697634e-08
1.400000e-12,2.800000e-07,4.014205e-02,8.566874e-08
1.500000e-12,3.000000e-07,4.552911e-02,9.439342e-08
1.600000e-12,3.200000e-07,5.118114e-02,1.031185e-07
1.700000e-12,3.400000e-07,5.708975e-02,1.118176e-07
1.800000e-12,3.600000e-07,6.324718e-02,1.204687e-07
1.900000e-12,3.800000e-07,6.964618e-02,1.290534e-07
2.000000e-12,4.000000e-07,7.627995e-02,1.375569e-07
2.100000e-12,4.200000e-07,8.314208e-02,1.459666e-07
2.200000e-12,4.400000e-07,9.022651e-02,1.542724e-07
2.300000e-12,4.600000e-07,9.752745e-02,1.624660e-07
2.400000e-12,4.800000e-07,1.050394e-01,1.705408e-07
2.500000e-12,5.000000e-07,1.127571e-01,1.784915e-07
2.600000e-12,5.200000e-07,1.206754e-01,1.863141e-07
2.700000e-12,5.400000e-07,1.287895e-01,1.940054e-07
2.800000e-12,5.600000e-07,1.370947e-01,2.015632e-07
2.900000e-12,5.800000e-07,1.455865e-01,2.089862e-07
3.000000e-12,6.000000e-07,1.542606e-01,2.162733e-07
3.100000e-12,6.200000e-07,1.631126e-01,2.234244e-07
3.200000e-12,6.400000e-07,1.721386e-01,2.304397e-07
3.300000e-12,6.600000e-07,1.813346e-01,2.373198e-07
3.400000e-12,6.800000e-07,1.906969e-01,2.440658e-07
3.500000e-12,7.000000e-07,2.002219e-01,2.506790e-07
3.600000e-12,7.200000e-07,2.099059e-01,2.571610e-07
3.700000e-12,7.400000e-07,2.197457e-01,2.635138e-07
3.800000e-12,7.600000e-07,2.297379e-01,2.697394e-07
3.900000e-12,7.800000e-07,2.398796e-01,2.758403e-07
4.000000e-12,8.000000e-07,2.501676e-01,2.818189e-07
4.100000e-12,8.200000e-07,2.605991e-01,2.876778e-07
4.200000e-12,8.400000e-07,2.711714e-01,2.934200e-07
4.300000e-12,8.600000e-07,2.818819e-01,2.990482e-07
4.400000e-12,8.800000e-07,2.927280e-01,3.045656e-07
4.500000e-12,9.000000e-07,3.037074e-01,3.099754e-07
4.600000e-12,9.200000e-07,3.148180e-01,3.152806e-07
4.700000e-12,9.400000e-07,3.260575e-01,3.204847e-07
4.800000e-12,9.600000e-07,3.374239e-01,3.255911e-07
4.900000e-12,9.800000e-07,3.489154e-01,3.306031e-07
5.000000e-12,1.000000e-06,3.605303e-01,3.355243e-07
5.100000e-12,1.020000e-06,3.720508e-01,3.396914e-07
5.200000e-12,1.040000e-06,3.832975e-01,3.426150e-07
5.300000e-12,1.060000e-06,3.941912e-01,3.441594e-07
5.400000e-12,1.080000e-06,4.047214e-01,3.444178e-07
5.500000e-12,1.100000e-06,4.149072e-01,3.435697e-07
5.600000e-12,1.120000e-06,4.247753e-01,3.418025e-07
5.700000e-12,1.140000e-06,4.343506e-01,3.392820e-07
5.800000e-12,1.160000e-06,4.436545e-01,3.361477e-07
5.900000e-12,1.180000e-06,4.527053e-01,3.325152e-07
6.000000e-12,1.200000e-06,4.615183e-01,3.284807e-07
6.100000e-12,1.220000e-06,4.701066e-01,3.241244e-07
6.200000e-12,1.240000e-06,4.784818e-01,3.195131e-07
6.300000e-12,1.260000e-06,4.866539e-01,3.147030e-07
6.400000e-12,1.280000e-06,4.946318e-01,3.097409e-07
6.500000e-12,1.300000e-06,5.024233e-01,3.046661e-07
6.600000e-12,1.320000e-06,5.100354e-01,2.995115e-07
6.700000e-12,1.340000e-06,5.174743e-01,2.943045e-07
6.800000e-12,1.360000e-06,5.247460e-01,2.890684e-07
6.900000e-12,1.380000e-06,5.318556e-01,2.838225e-07
7.000000e-12,1.400000e-06,5.388080e-01,2.785829e-07
7.100000e-12,1.420000e-06,5.456076e-01,2.733634e-07
7.200000e-12,1.440000e-06,5.522588e-01,2.681752e-07
7.300000e-12,1.460000e-06,5.587654e-01,2.630278e-07
